word,pos,level,desc
"competitor","noun","B1","a person, team or company that is competing against others"
"compile","verb","C1","to collect information and arrange it in a book, report, list, etc."
"complain","verb","B1","to say that something is wrong or that you are annoyed about something"
"complaint (SOMETHING WRONG)","noun","B1","when someone says that something is wrong or not satisfactory"
"complaint (ANNOYING THING)","noun","C1","something that makes you complain"
"complete (MAKE WHOLE)","verb","A2","to provide the last part needed to make something whole"
"complete (WRITE)","verb","A2","to write all the details asked for on a form or other document"
"complete (FINISH)","verb","A2","to finish doing or making something"
"complete (TOTAL)","adjective","B1","very great or to the largest degree possible"
"complete (WHOLE)","adjective","B1","with all the parts"
"completely","adverb","B1","in every way or as much as possible"
"completion","noun","C1","when something that you are doing or making is finished"
"complex","adjective","B2","involving a lot of different but connected parts in a way that is difficult to understand"
"complex (MENTAL)","noun","C2","a mental problem which makes someone anxious or frightened about something"
"complex (BUILDINGS)","noun","C1","a group of buildings or rooms that are used for a particular purpose"
"complexion","noun","C2","the colour and appearance of the skin on someone's face"
"complexity","noun","C2","when something is complex"
"complicate","verb","C1","to make something more difficult to deal with or understand"
"complicated","adjective","B1","involving a lot of different parts, in a way that is difficult to understand"
"complication (DIFFICULTY)","noun","C1","something which makes a situation more difficult"
"complication (MEDICAL PROBLEM)","noun","C2","a new medical problem that develops when you are already ill"
"compliment","noun","C2","something that you say or do to show praise or admiration for someone"
"pay sb a compliment","noun","C2","to tell someone that you admire something about them"
"with the compliments of sb","noun","C2","used by someone to express good wishes when they give you something free, for example in a restaurant"
"compliment","verb","C1","to praise or express admiration for someone"
"complimentary (PRAISING)","adjective","C2","praising or expressing admiration for someone"
"complimentary (FREE)","adjective","C2","given free, especially by a business"
"comply","verb","C1","to obey an order, rule, or request"
"component (MACHINE)","noun","C1","one of the parts of a machine or piece of equipment"
"component (FEATURE)","noun","C1","one of the parts or characteristics of something or someone"
"compose (BE MADE OF)","verb","B2","to be the parts that something consists of"
"compose (MUSIC)","verb","B2","to write a piece of music"
"composer","noun","B2","someone who writes music"
"composition (WRITING)","noun","B1","a short piece of writing about a particular subject, done by a student"
"composition (MUSIC)","noun","B2","a piece of music that someone has written"
"composition (PARTS)","noun","C2","the parts, substances, etc. that something consists of"
"composition (ARRANGEMENT)","noun","C2","the way that people or things are arranged in a painting or photograph"
"composition (WRITING MUSIC)","noun","C2","the process or skill of writing music"
"comprehensive","adjective","C1","including everything"
"comprehensively","adverb","C1","completely"
"comprise (CONSIST)","verb","C1","to consist of particular parts or members"
"comprise (FORM)","verb","C1","to form part of something, especially a larger group"
"compromise","noun","B2","when you agree to something which is not exactly what you want"
"compromise (AGREE)","verb","B2","to agree to something that is not exactly what you want"
"compromise (HARM)","verb","C2","to have a harmful effect on something"
"compulsive (HABIT)","adjective","C2","A compulsive habit is something that you do a lot because you want to so much that you cannot control yourself."
"compulsive (INTERESTING)","adjective","C2","so interesting or exciting that you cannot stop reading, playing, or watching it"
"compulsory","adjective","B2","If something is compulsory, you must do it because of a rule or law."
"computer","noun","A1","an electronic machine that can store and arrange large amounts of information"
"conceal","verb","C2","to hide something"
"concede (ADMIT)","verb","C2","to admit that something is true, even though you do not want to"
"concede (GIVE)","verb","C2","to allow someone to have something, even though you do not want to"
"conceited","adjective","C2","too proud of yourself and your actions"
"conceive (IDEA)","verb","C2","to think of an idea or plan"
"conceive (IMAGINE)","verb","C2","to be able to imagine something"
"conceive (BABY)","verb","C2","to become pregnant"
"concentrate","verb","B1","to think very carefully about something you are doing and nothing else"
"(be) concentrated around/in/on, etc.","verb","C1","to be present in large numbers or amounts in a particular area"
"concentration (THOUGHT)","noun","B2","the ability to think carefully about something you are doing and nothing else"
"concentration (LARGE AMOUNT)","noun","C2","a large number or amount of something in the same place"
"concept","noun","B2","a principle or idea"
"conception","noun","C2","an idea about what something is like or a way of understanding something"
"concern (INVOLVE)","verb","B2","to be important to someone or to involve someone directly"
"concern (BE ABOUT)","verb","B2","to be about a particular subject"
"concern (WORRY)","verb","C1","to worry or upset someone"
"concern (WORRY)","noun","B2","when you feel worried or nervous about something, or something that makes you feel worried"
"concern (IMPORTANT THING)","noun","B2","something that is important to you, or when something is important"
"concerned (WORRIED)","adjective","B2","worried"
"as far as sb is concerned","adjective","B2","used to say what someone's opinion is"
"as far as sth is concerned","adjective","B2","used to say what you are talking about"
"be concerned with sth","adjective","C1","to be about a particular subject"
"concerned (AFFECTED)","adjective","C2","involved in something or affected by it"
"concerning","preposition","B2","about"
"concert","noun","A2","a performance of music by one or more musicians or singers"
